node1,node2,distance,waypoints
0,1,802.9,"102.848763,24.825382;102.848438,24.825477;102.848398,24.825503;102.848398,24.825503;102.848316,24.82556;102.847977,24.825829;102.847786,24.826037;102.847648,24.826276;102.847504,24.826675;102.847148,24.827865;102.847148,24.827865;102.847057,24.828177;102.847057,24.828177;102.847031,24.828268;102.84701,24.828481;102.847005,24.828481;102.846723,24.828542;102.846502,24.828611;102.846428,24.828655;102.84628,24.828767;102.846146,24.828928;102.846146,24.828928;102.846124,24.828989;102.846102,24.829097;102.846033,24.829479;102.846029,24.829748;102.846063,24.8299;102.846137,24.830017;102.846385,24.830247;102.846385,24.830247;102.84645,24.830308;102.846493,24.830365;102.846554,24.830503;102.846593,24.83072;102.846558,24.83089;102.846558,24.83089;102.846385,24.831437;102.846272,24.831628;102.846094,24.831801;102.846089,24.831801;102.845933,24.83161;102.845777,24.831359;102.845638,24.831181;102.845525,24.831063"
0,2,1291.92,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.851237,24.824761;102.851237,24.824761;102.851502,24.824948;102.851502,24.824948;102.852122,24.825391;102.852122,24.825391;102.852179,24.82543;102.852179,24.82543;102.852248,24.825469;102.852891,24.825664;102.853086,24.825686;102.853086,24.825686;102.853255,24.825694;102.853255,24.825694;102.853602,24.825738;102.853602,24.825738;102.853819,24.825295;102.853819,24.825295;102.853976,24.824983;102.853976,24.824978;102.854002,24.824983;102.854753,24.825221;102.854753,24.825221;102.854835,24.825243;102.854835,24.825243;102.855122,24.825334;102.855516,24.825547;102.855516,24.825547;102.856089,24.825833;102.856089,24.825833;102.85651,24.826033;102.85651,24.826033;102.856727,24.826128;102.856849,24.826207;102.856849,24.826207;102.857248,24.826367;102.857248,24.826367;102.857669,24.826545;102.857669,24.826545;102.858121,24.82684;102.858121,24.82684;102.858885,24.827296;102.858885,24.827296;102.859414,24.827613;102.859414,24.827613;102.860291,24.828142;102.860291,24.828142;102.860438,24.828286;102.860438,24.828286;102.861328,24.829097;102.861363,24.829128;102.861363,24.829128;102.861463,24.829223;102.861463,24.829223;102.861393,24.829293;102.861367,24.829362;102.861367,24.82941;102.861406,24.829514;102.861484,24.829614;102.861484,24.829614;102.860846,24.830226;102.860846,24.830226"
0,3,473.42,"102.84842,24.823785;102.848416,24.82378;102.848377,24.82362;102.848372,24.823615;102.848238,24.823116;102.848238,24.823116;102.848069,24.8225;102.848064,24.822496;102.847895,24.822569;102.847535,24.822773;102.84753,24.822773;102.847365,24.822517;102.847322,24.822396;102.847322,24.822118;102.847383,24.821823;102.847365,24.821628;102.847274,24.821445;102.847253,24.821428;102.847248,24.821419;102.847418,24.821289;102.8475,24.821185;102.847522,24.821024;102.847522,24.82102;102.847587,24.820764;102.847587,24.820764;102.847613,24.82072;102.847635,24.820365;102.847635,24.82036"
0,4,1186.31,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.851237,24.824761;102.851237,24.824761;102.851502,24.824948;102.851502,24.824948;102.852122,24.825391;102.852122,24.825391;102.852179,24.82543;102.852179,24.82543;102.852248,24.825469;102.852891,24.825664;102.853086,24.825686;102.853086,24.825686;102.853255,24.825694;102.853255,24.825694;102.853602,24.825738;102.853602,24.825738;102.853819,24.825295;102.853819,24.825295;102.853976,24.824983;102.853976,24.824978;102.854002,24.824983;102.854753,24.825221;102.854753,24.825221;102.854835,24.825243;102.854835,24.825243;102.855122,24.825334;102.855516,24.825547;102.855516,24.825547;102.856089,24.825833;102.856089,24.825833;102.85651,24.826033;102.85651,24.826033;102.856727,24.826128;102.856849,24.826207;102.856849,24.826207;102.857248,24.826367;102.857248,24.826367;102.857669,24.826545;102.857669,24.826545;102.858121,24.82684;102.858121,24.82684;102.858885,24.827296;102.858885,24.827296"
0,5,252.59,"102.847986,24.824661;102.848003,24.824865;102.847982,24.8249;102.847799,24.825035;102.847795,24.825035;102.847422,24.824566;102.847422,24.824566;102.847235,24.824319;102.847231,24.824314;102.847188,24.82434;102.847062,24.824631;102.846953,24.824813;102.846949,24.824813;102.846285,24.824566;102.84628,24.824562;102.846263,24.824635;102.846207,24.824766;102.846194,24.824822;102.846189,24.824826;102.846376,24.824935;102.846402,24.82497;102.846402,24.825004"
0,6,611.66,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.851237,24.824761;102.851237,24.824761;102.851502,24.824948;102.851502,24.824948;102.852122,24.825391;102.852122,24.825391;102.852179,24.82543;102.852179,24.82543;102.852248,24.825469;102.852891,24.825664;102.853086,24.825686;102.853086,24.825686;102.853255,24.825694;102.853255,24.825694;102.853602,24.825738;102.853602,24.825738;102.853806,24.825829;102.853806,24.825829;102.854002,24.82592"
0,7,263.41,"102.847986,24.824661;102.848003,24.824865;102.847982,24.8249;102.847799,24.825035;102.847795,24.825035;102.847422,24.824566;102.847422,24.824566;102.847235,24.824319;102.847231,24.824314;102.847188,24.82434;102.847062,24.824631;102.846953,24.824813;102.846949,24.824813;102.846975,24.824831;102.846997,24.824874;102.846997,24.824926;102.84671,24.825651;102.846706,24.825651;102.847253,24.825868;102.847322,24.825951;102.847361,24.826042;102.847361,24.826107"
0,8,666.23,"102.847986,24.824661;102.848003,24.824865;102.847982,24.8249;102.847799,24.825035;102.847795,24.825035;102.847422,24.824566;102.847422,24.824566;102.847235,24.824319;102.847235,24.824319;102.847079,24.824084;102.846862,24.823893;102.846862,24.823893;102.846593,24.823767;102.846589,24.823763;102.84635,24.824023;102.845851,24.824397;102.845851,24.824397;102.845451,24.824696;102.845187,24.824957;102.844844,24.825434;102.844844,24.825434;102.844722,24.825686;102.844722,24.825686;102.844609,24.82592;102.844609,24.82592;102.844549,24.826033;102.844362,24.826563;102.844362,24.826563;102.844327,24.826701;102.844327,24.826701;102.844301,24.827127;102.844301,24.827127;102.844297,24.8273;102.844293,24.8273;102.843989,24.827292;102.843728,24.827253;102.843728,24.827253;102.843633,24.827227;102.843633,24.827227;102.843207,24.82714;102.842852,24.827023"
0,9,659.88,"102.848763,24.825382;102.848438,24.825477;102.848398,24.825503;102.848398,24.825503;102.848316,24.82556;102.847977,24.825829;102.847786,24.826037;102.847648,24.826276;102.847504,24.826675;102.847148,24.827865;102.847148,24.827865;102.847057,24.828177;102.847057,24.828177;102.847031,24.828268;102.84701,24.828481;102.847005,24.828481;102.846723,24.828542;102.846502,24.828611;102.846428,24.828655;102.84628,24.828767;102.846146,24.828928;102.846141,24.828928;102.845734,24.828659;102.845547,24.828568;102.845547,24.828568;102.845464,24.828533;102.845464,24.828533;102.844792,24.828359;102.844792,24.828359;102.844405,24.828268;102.844401,24.828264;102.844431,24.828563;102.844431,24.828563;102.844193,24.828546;102.844171,24.828529"
0,10,366.79,"102.84842,24.823785;102.848416,24.82378;102.848377,24.82362;102.848372,24.823615;102.848238,24.823116;102.848238,24.823116;102.848069,24.8225;102.848064,24.822496;102.847895,24.822569;102.847535,24.822773;102.847535,24.822773;102.847309,24.822969;102.84714,24.823147;102.847135,24.823147"
0,11,405.82,"102.84921,24.823689;102.849314,24.823681;102.849462,24.823694;102.849466,24.823689;102.849514,24.823568;102.849514,24.823568;102.849631,24.82326;102.849705,24.823251;102.849835,24.823277;102.849944,24.82332;102.849978,24.823325;102.850009,24.823299;102.850043,24.823225;102.850069,24.823129;102.8501,24.823099;102.850152,24.82309;102.850169,24.82309;102.850169,24.82309;102.850395,24.823108;102.850395,24.823108;102.850516,24.822752;102.850516,24.822747;102.850755,24.822951;102.850755,24.822951;102.851406,24.822313;102.851406,24.822313"
0,12,395.4,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.850794,24.824015;102.850794,24.824015;102.850981,24.82378;102.850981,24.823776;102.851254,24.823967;102.851254,24.823967;102.851549,24.823615;102.851549,24.823611"
0,13,256.98,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.850794,24.824015;102.850794,24.824015;102.850981,24.82378;102.850981,24.823776"
0,14,537.19,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.851237,24.824761;102.851237,24.824761;102.851311,24.824683;102.851367,24.824657;102.851406,24.824657;102.851406,24.824653;102.851732,24.824249;102.851797,24.824236;102.851858,24.824284;102.851858,24.824284;102.851949,24.824128;102.851949,24.824123;102.851923,24.824097;102.851914,24.824063;102.85197,24.82395;102.85197,24.82395;102.852587,24.823251;102.852587,24.823247;102.853077,24.823659;102.853186,24.823681;102.853186,24.823681;102.853385,24.823698;102.853685,24.823772;102.853815,24.823837;102.854002,24.823967;102.854006,24.823971;102.854006,24.823971"
0,15,1059.11,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.851237,24.824761;102.851237,24.824761;102.851502,24.824948;102.851502,24.824948;102.852122,24.825391;102.852122,24.825391;102.852179,24.82543;102.852179,24.82543;102.852248,24.825469;102.852891,24.825664;102.853086,24.825686;102.853086,24.825686;102.853255,24.825694;102.853255,24.825694;102.853602,24.825738;102.853602,24.825738;102.853819,24.825295;102.853819,24.825295;102.853976,24.824983;102.853976,24.824978;102.854002,24.824983;102.854753,24.825221;102.854753,24.825221;102.854835,24.825243;102.854835,24.825243;102.855122,24.825334;102.855516,24.825547;102.855516,24.825547;102.856089,24.825833;102.856089,24.825833;102.85651,24.826033;102.85651,24.826033;102.856727,24.826128;102.856849,24.826207;102.856849,24.826207;102.857248,24.826367;102.857248,24.826367;102.857669,24.826545;102.857669,24.826545;102.858121,24.82684;102.858121,24.82684;102.858885,24.827296;102.858885,24.827296"
